🚀 Training Started
==================================================
Epoch [1/100] Recon: 0.1283 | KL: 39.7717 | Phys: 0.0000 (λ=0.000)
Epoch [2/100] Recon: 0.0384 | KL: 8.0062 | Phys: 0.0000 (λ=0.000)
Epoch [3/100] Recon: 0.0325 | KL: 4.3375 | Phys: 0.0000 (λ=0.000)
Epoch [4/100] Recon: 0.0256 | KL: 2.5900 | Phys: 0.0000 (λ=0.000)
Epoch [5/100] Recon: 0.0206 | KL: 1.6794 | Phys: 0.0000 (λ=0.000)
Epoch [6/100] Recon: 0.0179 | KL: 1.1802 | Phys: 0.0000 (λ=0.000)
Epoch [7/100] Recon: 0.0162 | KL: 0.8723 | Phys: 0.0000 (λ=0.000)
Epoch [8/100] Recon: 0.0149 | KL: 0.6949 | Phys: 0.0000 (λ=0.000)
Epoch [9/100] Recon: 0.0142 | KL: 0.5752 | Phys: 0.0000 (λ=0.000)
Epoch [10/100] Recon: 0.0134 | KL: 0.4984 | Phys: 0.0000 (λ=0.000)
💾 Checkpoint saved: epoch 10
Epoch [11/100] Recon: 0.0129 | KL: 0.4288 | Phys: 0.0000 (λ=0.000)
Epoch [12/100] Recon: 0.0123 | KL: 0.3803 | Phys: 0.0000 (λ=0.000)
Epoch [13/100] Recon: 0.0120 | KL: 0.3475 | Phys: 0.0000 (λ=0.000)
Epoch [14/100] Recon: 0.0115 | KL: 0.3154 | Phys: 0.0000 (λ=0.000)
Epoch [15/100] Recon: 0.0112 | KL: 0.2872 | Phys: 0.0000 (λ=0.000)
Epoch [16/100] Recon: 0.0109 | KL: 0.2648 | Phys: 0.0000 (λ=0.000)
Epoch [17/100] Recon: 0.0107 | KL: 0.2452 | Phys: 0.0000 (λ=0.000)
Epoch [18/100] Recon: 0.0103 | KL: 0.2302 | Phys: 0.0000 (λ=0.000)
Epoch [19/100] Recon: 0.0100 | KL: 0.2126 | Phys: 0.0000 (λ=0.000)
Epoch [20/100] Recon: 0.0098 | KL: 0.2011 | Phys: 0.0000 (λ=0.000)
💾 Checkpoint saved: epoch 20
Epoch [21/100] Recon: 0.0094 | KL: 0.1885 | Phys: 0.0079 (λ=0.005)
Epoch [22/100] Recon: 0.0091 | KL: 0.1792 | Phys: 0.0036 (λ=0.010)
Epoch [23/100] Recon: 0.0087 | KL: 0.1683 | Phys: 0.0023 (λ=0.015)
Epoch [24/100] Recon: 0.0084 | KL: 0.1598 | Phys: 0.0015 (λ=0.020)
Epoch [25/100] Recon: 0.0082 | KL: 0.1542 | Phys: 0.0012 (λ=0.025)
Epoch [26/100] Recon: 0.0078 | KL: 0.1426 | Phys: 0.0010 (λ=0.030)
Epoch [27/100] Recon: 0.0075 | KL: 0.1381 | Phys: 0.0008 (λ=0.035)
Epoch [28/100] Recon: 0.0072 | KL: 0.1341 | Phys: 0.0007 (λ=0.040)
Epoch [29/100] Recon: 0.0070 | KL: 0.1267 | Phys: 0.0006 (λ=0.045)
Epoch [30/100] Recon: 0.0067 | KL: 0.1227 | Phys: 0.0005 (λ=0.050)
💾 Checkpoint saved: epoch 30
Epoch [31/100] Recon: 0.0065 | KL: 0.1180 | Phys: 0.0004 (λ=0.055)
Epoch [32/100] Recon: 0.0062 | KL: 0.1102 | Phys: 0.0004 (λ=0.060)
Epoch [33/100] Recon: 0.0060 | KL: 0.1077 | Phys: 0.0004 (λ=0.065)
Epoch [34/100] Recon: 0.0058 | KL: 0.1031 | Phys: 0.0003 (λ=0.070)
Epoch [35/100] Recon: 0.0057 | KL: 0.0988 | Phys: 0.0003 (λ=0.075)
Epoch [36/100] Recon: 0.0055 | KL: 0.0949 | Phys: 0.0003 (λ=0.080)
Epoch [37/100] Recon: 0.0053 | KL: 0.0905 | Phys: 0.0002 (λ=0.085)
Epoch [38/100] Recon: 0.0053 | KL: 0.0890 | Phys: 0.0002 (λ=0.090)
Epoch [39/100] Recon: 0.0051 | KL: 0.0860 | Phys: 0.0002 (λ=0.095)
Epoch [40/100] Recon: 0.0049 | KL: 0.0809 | Phys: 0.0002 (λ=0.100)
💾 Checkpoint saved: epoch 40
Epoch [41/100] Recon: 0.0047 | KL: 0.0792 | Phys: 0.0002 (λ=0.100)
Epoch [42/100] Recon: 0.0047 | KL: 0.0763 | Phys: 0.0002 (λ=0.100)
Epoch [43/100] Recon: 0.0045 | KL: 0.0745 | Phys: 0.0002 (λ=0.100)
Epoch [44/100] Recon: 0.0044 | KL: 0.0714 | Phys: 0.0002 (λ=0.100)
Epoch [45/100] Recon: 0.0044 | KL: 0.0697 | Phys: 0.0001 (λ=0.100)
Epoch [46/100] Recon: 0.0043 | KL: 0.0687 | Phys: 0.0001 (λ=0.100)
Epoch [47/100] Recon: 0.0042 | KL: 0.0660 | Phys: 0.0001 (λ=0.100)
Epoch [48/100] Recon: 0.0040 | KL: 0.0624 | Phys: 0.0001 (λ=0.100)
Epoch [49/100] Recon: 0.0039 | KL: 0.0600 | Phys: 0.0001 (λ=0.100)
Epoch [50/100] Recon: 0.0039 | KL: 0.0596 | Phys: 0.0002 (λ=0.100)
💾 Checkpoint saved: epoch 50
Epoch [51/100] Recon: 0.0039 | KL: 0.0584 | Phys: 0.0001 (λ=0.100)
Epoch [52/100] Recon: 0.0038 | KL: 0.0563 | Phys: 0.0001 (λ=0.100)
Epoch [53/100] Recon: 0.0038 | KL: 0.0563 | Phys: 0.0001 (λ=0.100)
Epoch [54/100] Recon: 0.0037 | KL: 0.0523 | Phys: 0.0001 (λ=0.100)
Epoch [55/100] Recon: 0.0036 | KL: 0.0508 | Phys: 0.0001 (λ=0.100)
Epoch [56/100] Recon: 0.0035 | KL: 0.0499 | Phys: 0.0001 (λ=0.100)
Epoch [57/100] Recon: 0.0036 | KL: 0.0501 | Phys: 0.0001 (λ=0.100)
Epoch [58/100] Recon: 0.0035 | KL: 0.0487 | Phys: 0.0001 (λ=0.100)
Epoch [59/100] Recon: 0.0034 | KL: 0.0467 | Phys: 0.0001 (λ=0.100)
Epoch [60/100] Recon: 0.0033 | KL: 0.0456 | Phys: 0.0001 (λ=0.100)
💾 Checkpoint saved: epoch 60
Epoch [61/100] Recon: 0.0032 | KL: 0.0440 | Phys: 0.0001 (λ=0.100)
Epoch [62/100] Recon: 0.0032 | KL: 0.0436 | Phys: 0.0001 (λ=0.100)
Epoch [63/100] Recon: 0.0031 | KL: 0.0422 | Phys: 0.0001 (λ=0.100)
Epoch [64/100] Recon: 0.0031 | KL: 0.0402 | Phys: 0.0001 (λ=0.100)
Epoch [65/100] Recon: 0.0030 | KL: 0.0405 | Phys: 0.0001 (λ=0.100)
Epoch [66/100] Recon: 0.0030 | KL: 0.0387 | Phys: 0.0001 (λ=0.100)
Epoch [67/100] Recon: 0.0030 | KL: 0.0388 | Phys: 0.0001 (λ=0.100)
Epoch [68/100] Recon: 0.0030 | KL: 0.0375 | Phys: 0.0001 (λ=0.100)
Epoch [69/100] Recon: 0.0029 | KL: 0.0359 | Phys: 0.0001 (λ=0.100)
Epoch [70/100] Recon: 0.0028 | KL: 0.0347 | Phys: 0.0001 (λ=0.100)
💾 Checkpoint saved: epoch 70
Epoch [71/100] Recon: 0.0028 | KL: 0.0343 | Phys: 0.0001 (λ=0.100)
Epoch [72/100] Recon: 0.0028 | KL: 0.0337 | Phys: 0.0001 (λ=0.100)
Epoch [73/100] Recon: 0.0029 | KL: 0.0322 | Phys: 0.0001 (λ=0.100)
Epoch [74/100] Recon: 0.0028 | KL: 0.0325 | Phys: 0.0001 (λ=0.100)
Epoch [75/100] Recon: 0.0026 | KL: 0.0302 | Phys: 0.0001 (λ=0.100)
Epoch [76/100] Recon: 0.0026 | KL: 0.0306 | Phys: 0.0001 (λ=0.100)
Epoch [77/100] Recon: 0.0026 | KL: 0.0299 | Phys: 0.0001 (λ=0.100)
Epoch [78/100] Recon: 0.0026 | KL: 0.0290 | Phys: 0.0001 (λ=0.100)
Epoch [79/100] Recon: 0.0026 | KL: 0.0289 | Phys: 0.0001 (λ=0.100)
Epoch [80/100] Recon: 0.0025 | KL: 0.0274 | Phys: 0.0001 (λ=0.100)
💾 Checkpoint saved: epoch 80
Epoch [81/100] Recon: 0.0025 | KL: 0.0266 | Phys: 0.0001 (λ=0.100)
Epoch [82/100] Recon: 0.0025 | KL: 0.0262 | Phys: 0.0001 (λ=0.100)
Epoch [83/100] Recon: 0.0024 | KL: 0.0261 | Phys: 0.0001 (λ=0.100)
Epoch [84/100] Recon: 0.0024 | KL: 0.0259 | Phys: 0.0001 (λ=0.100)
Epoch [85/100] Recon: 0.0024 | KL: 0.0247 | Phys: 0.0001 (λ=0.100)
Epoch [86/100] Recon: 0.0023 | KL: 0.0248 | Phys: 0.0001 (λ=0.100)
Epoch [87/100] Recon: 0.0024 | KL: 0.0247 | Phys: 0.0001 (λ=0.100)
Epoch [88/100] Recon: 0.0024 | KL: 0.0238 | Phys: 0.0001 (λ=0.100)
Epoch [89/100] Recon: 0.0023 | KL: 0.0238 | Phys: 0.0001 (λ=0.100)
Epoch [90/100] Recon: 0.0022 | KL: 0.0218 | Phys: 0.0001 (λ=0.100)
💾 Checkpoint saved: epoch 90
Epoch [91/100] Recon: 0.0022 | KL: 0.0216 | Phys: 0.0001 (λ=0.100)
Epoch [92/100] Recon: 0.0022 | KL: 0.0219 | Phys: 0.0001 (λ=0.100)
Epoch [93/100] Recon: 0.0022 | KL: 0.0214 | Phys: 0.0001 (λ=0.100)
Epoch [94/100] Recon: 0.0022 | KL: 0.0205 | Phys: 0.0001 (λ=0.100)
Epoch [95/100] Recon: 0.0021 | KL: 0.0205 | Phys: 0.0001 (λ=0.100)
Epoch [96/100] Recon: 0.0021 | KL: 0.0197 | Phys: 0.0001 (λ=0.100)
Epoch [97/100] Recon: 0.0021 | KL: 0.0195 | Phys: 0.0001 (λ=0.100)
Epoch [98/100] Recon: 0.0021 | KL: 0.0189 | Phys: 0.0001 (λ=0.100)
Epoch [99/100] Recon: 0.0022 | KL: 0.0190 | Phys: 0.0001 (λ=0.100)
Epoch [100/100] Recon: 0.0022 | KL: 0.0195 | Phys: 0.0001 (λ=0.100)
💾 Checkpoint saved: epoch 100
